Episode,Total Reward,Hits,False Positives,Repeats,Avg Loss
1,-22.0,0,20,1,0.0
2,-12.0,2,18,2,0.0
3,-28.0,0,20,4,0.0
4,-10.0,2,18,1,0.0
5,4.0,4,16,0,0.0
6,-26.0,0,20,3,0.0
7,-10.0,2,18,1,0.0
8,-10.0,2,18,1,0.0
9,-10.0,2,18,1,0.0
10,-6.0,3,17,2,0.0
11,-16.0,1,19,1,0.0
12,-16.0,1,19,1,0.0
13,-26.0,0,20,3,0.0
14,2.0,4,16,1,0.0
15,-10.0,4,16,7,0.0
16,-14.0,1,19,0,0.0
17,-22.0,0,20,1,0.0
18,-16.0,2,18,4,0.0
19,-22.0,0,20,1,0.0
20,-4.0,3,17,1,0.0
21,-14.0,2,18,3,0.0
22,-14.0,2,18,3,0.0
23,-12.0,2,18,2,0.0
24,-18.0,1,19,2,0.0
25,6.0,5,15,2,0.0
26,-22.0,1,19,4,0.0
27,-16.0,2,18,4,0.0
28,-8.0,2,18,0,0.0
29,-2.0,3,17,0,0.0
30,-10.0,2,18,1,0.0
31,-20.0,1,19,3,0.0
32,-14.0,2,18,3,0.36099134882291156
33,-22.0,1,19,4,0.0
34,-16.0,1,19,1,0.0
35,-16.0,1,19,1,0.0
36,-4.0,3,17,1,0.0
37,6.0,5,15,2,0.0
38,-16.0,2,18,4,0.0
39,-12.0,2,18,2,0.0
40,-10.0,3,17,4,0.0
41,-6.0,3,17,2,0.0
42,-12.0,2,18,2,0.0
43,-12.0,2,18,2,0.0
44,-22.0,1,19,4,0.0
45,-6.0,3,17,2,0.0
46,-14.0,2,18,3,0.0
47,-16.0,1,19,1,0.0
48,-16.0,1,19,1,0.0
49,-22.0,0,20,1,0.0
50,-10.0,2,18,1,0.0
51,10.0,5,15,0,0.0
52,-16.0,1,19,1,0.0
53,-18.0,1,19,2,0.0
54,-24.0,0,20,2,0.0
55,-8.0,2,18,0,0.0
56,-16.0,1,19,1,0.0
57,-20.0,1,19,3,0.0
58,-8.0,3,17,3,0.0
59,-12.0,2,18,2,0.0
60,-20.0,2,18,6,0.0
61,2.0,4,16,1,0.0
62,-12.0,2,18,2,0.0
63,-12.0,3,17,5,0.0
64,-10.0,2,18,1,0.35983946174383163
65,-22.0,0,20,1,0.0
66,-14.0,1,19,0,0.0
67,-14.0,1,19,0,0.0
68,-10.0,3,17,4,0.0
69,-16.0,1,19,1,0.0
70,-4.0,3,17,1,0.0
71,-8.0,2,18,0,0.0
72,-12.0,2,18,2,0.0
73,-12.0,2,18,2,0.0
74,-2.0,3,17,0,0.0
75,-12.0,2,18,2,0.0
76,-10.0,2,18,1,0.0
77,-22.0,1,19,4,0.0
78,-10.0,2,18,1,0.0
79,-12.0,2,18,2,0.0
80,-14.0,1,19,0,0.0
81,-14.0,2,18,3,0.0
82,-4.0,3,17,1,0.0
83,-16.0,1,19,1,0.0
84,-2.0,3,17,0,0.0
