episode,score,hits,false_positives,repeats
1,-1.63,0,3,6
2,3.6500000000000004,1,2,5
3,7.95,2,1,9
4,3.4600000000000004,1,2,6
5,3.1200000000000014,1,3,7
6,-1.99,0,3,8
7,2.9500000000000006,1,4,7
8,3.430000000000001,1,2,6
9,3.210000000000003,1,2,7
10,-2.24,0,3,9
11,-1.9700000000000002,0,4,7
12,3.62,1,4,4
13,3.5200000000000014,1,3,5
14,-2.09,0,3,8
15,-2.0900000000000003,0,3,8
16,3.620000000000002,1,2,5
17,-3.13,0,4,13
18,-1.4700000000000002,0,3,5
19,-2.0700000000000003,0,3,8
20,-1.4500000000000002,0,3,5
21,-1.8800000000000001,0,3,7
22,-1.86,0,3,7
23,4.270000000000003,1,3,1
24,3.5000000000000027,1,3,5
25,4.190000000000003,1,2,2
26,-2.18,0,4,8
27,2.68,1,2,10
28,8.800000000000004,2,2,4
29,-2.0100000000000002,0,3,8
30,-2.5,0,2,11
31,4.180000000000004,1,2,2
32,-2.03,0,3,8
33,3.5600000000000005,1,3,5
34,2.91,1,5,7
35,-2.13,0,4,8
36,-1.23,0,3,4
37,-1.6600000000000004,0,3,6
38,7.399999999999999,2,1,12
39,-1.1600000000000001,0,5,2
40,-2.2900000000000005,0,5,8
41,-2.37,0,4,9
42,-3.2699999999999996,0,3,14
43,-1.35,0,2,5
44,2.7000000000000006,1,2,10
45,-1.83,0,3,7
46,-1.36,0,4,4
47,3.5500000000000016,1,1,6
48,-1.9300000000000002,0,4,7
49,8.510000000000002,2,5,4
50,7.860000000000002,2,2,9
51,2.870000000000002,1,2,9
52,-2.43,0,3,10
53,2.970000000000002,1,4,7
54,-2.21,0,4,8
55,-2.02,0,3,8
56,-1.87,0,3,7
57,-1.9,0,2,8
58,-2.3399999999999994,0,4,9
59,-2.3700000000000006,0,4,9
60,-2.5100000000000002,0,2,11
61,-2.24,0,3,9
62,-2.2699999999999996,0,2,10
63,3.3200000000000007,1,4,5
64,3.2200000000000006,1,4,6
65,-3.01,0,3,13
66,2.850000000000001,1,3,8
67,3.1900000000000004,1,1,8
68,3.9500000000000015,1,1,4
69,2.6900000000000004,2,2,9
70,-1.1300000000000001,0,4,3
71,-2.21,0,3,9
72,3.640000000000001,1,2,5
73,-2.17,0,2,9
74,-3.0599999999999996,0,5,12
75,-1.9500000000000002,0,2,8
76,3.3200000000000016,1,3,6
77,-1.85,0,3,7
78,4.200000000000002,1,3,1
79,3.13,1,3,7
80,-1.1600000000000004,0,4,3
81,3.7400000000000015,1,1,5
82,-1.6400000000000001,0,3,6
83,2.47,1,2,11
84,2.5100000000000007,1,2,11
85,-2.0,0,3,8
86,8.080000000000002,2,2,8
87,-2.3000000000000003,0,2,10
88,-1.0700000000000003,0,4,2
89,4.010000000000003,1,4,2
90,2.9400000000000004,1,1,9
91,2.980000000000001,1,1,9
92,-2.8599999999999994,0,2,13
93,3.5500000000000016,1,1,6
94,3.8700000000000006,1,4,3
95,-2.5300000000000002,0,5,9
96,-0.8300000000000001,0,3,2
97,-3.3800000000000003,0,3,15
98,7.850000000000001,2,4,8
99,3.4400000000000026,1,2,6
100,8.55,2,1,6
101,-1.6800000000000002,0,1,7
102,-3.3100000000000005,0,4,14
103,2.9900000000000007,1,1,9
104,-2.4299999999999997,0,3,10
105,2.680000000000001,1,2,10
106,8.540000000000001,2,1,6
107,1.8199999999999994,2,1,14
108,-2.62,0,6,9
109,2.66,1,5,8
110,3.24,1,3,6
111,3.2600000000000007,1,2,7
112,7.890000000000001,2,2,9
113,2.8500000000000005,1,1,10
114,-1.5800000000000003,0,4,5
115,-1.0,0,2,3
116,8.550000000000002,2,3,5
117,-2.73,0,2,12
118,3.2600000000000007,1,4,6
119,3.16,1,3,7
120,-0.9,0,4,2
121,-2.0,0,4,7
122,-2.3,0,2,10
123,-2.1300000000000003,0,5,7
124,-1.4800000000000002,0,3,5
125,-2.4399999999999995,0,5,9
126,-2.04,0,3,8
127,3.39,1,1,7
128,2.6800000000000006,1,2,10
129,3.060000000000001,1,4,7
130,2.6599999999999993,1,2,10
131,-1.28,0,3,4
132,-1.71,0,3,6
133,3.870000000000001,1,2,4
134,-2.41,0,3,10
135,-2.6400000000000006,0,6,9
136,2.2600000000000002,1,2,12
137,3.33,1,3,6
138,-2.42,0,3,10
139,-1.1099999999999999,0,2,4
140,-1.5600000000000003,0,4,5
141,3.4800000000000013,1,2,6
142,-2.0,0,3,8
143,-1.7600000000000002,0,4,6
144,-1.5200000000000002,0,3,5
145,-2.2,0,3,9
146,-2.0300000000000002,0,5,7
147,-1.31,0,3,4
148,-2.37,0,4,9
149,3.340000000000003,1,3,6
150,3.710000000000001,1,2,5
151,-1.5800000000000003,0,2,6
152,3.5100000000000002,1,2,6
153,-2.0599999999999996,0,2,9
154,-2.82,0,4,11
155,-1.5500000000000003,0,4,5
156,-2.19,0,3,9
157,-1.54,0,4,5
158,-1.1800000000000002,0,4,3
159,-1.2900000000000003,0,3,4
160,-2.6100000000000003,0,3,11
161,3.9500000000000015,1,4,2
162,-2.03,0,3,8
163,8.22,2,2,7
164,-2.47,0,3,10
165,-2.97,0,3,13
166,-2.2199999999999998,0,1,10
167,-1.7200000000000002,0,4,6
168,-2.28,0,3,9
169,-0.9,0,5,1
170,2.820000000000001,1,2,9
171,-1.42,0,3,5
172,8.570000000000002,2,2,5
173,3.330000000000001,1,3,6
174,-2.44,0,3,10
175,-1.1600000000000001,0,4,3
176,-2.9700000000000006,0,3,13
177,2.1700000000000004,1,3,12
178,8.740000000000002,2,1,5
179,2.48,1,2,11
180,2.6700000000000004,1,2,10
181,-1.76,0,4,6
182,2.6500000000000004,1,2,10
183,-1.9400000000000002,0,4,7
184,-2.22,0,5,8
185,-1.89,0,2,8
186,-2.27,0,3,9
187,3.5700000000000003,1,1,6
188,3.16,1,3,7
189,8.520000000000001,2,1,6
190,2.7300000000000004,1,2,10
191,2.9400000000000004,1,5,7
192,3.16,1,3,7
193,8.370000000000001,2,1,7
194,3.09,1,2,8
195,2.84,1,1,10
196,-1.7900000000000003,0,4,6
197,-1.5300000000000002,0,4,5
198,3.2099999999999995,1,3,7
199,2.84,2,1,9
200,-2.81,0,5,11
201,-3.0900000000000003,0,2,14
202,3.9400000000000013,1,1,4
203,4.17,1,3,2
204,3.0,1,1,9
205,3.3200000000000016,1,3,6
206,-2.51,0,2,11
207,-3.7400000000000007,0,1,18
208,3.0799999999999996,1,1,9
209,2.8100000000000027,1,2,9
210,-1.55,0,4,5
211,-1.7500000000000002,0,4,6
212,2.5000000000000004,2,2,10
213,-1.7500000000000002,0,4,6
