Episode,AverageReward,Hits,FalsePositives,Repeats
1,1.185000017285347,1,4,5
2,-1.1450000181794167,0,3,2
3,-1.1700000148266554,0,4,5
4,-1.055000021122396,0,4,4
5,-1.4550000298768282,0,5,6
6,-0.9050000067800283,0,3,0
7,-1.1600000178441405,0,5,3
8,-1.2950000315904617,0,4,6
9,-1.3200000263750553,0,3,7
10,-1.1500000162050128,0,4,2
11,-1.6300000371411443,0,5,10
12,-1.1750000147148967,0,4,5
13,-1.0200000191107392,0,5,4
14,-1.285000029951334,0,4,6
15,-0.9900000169873238,0,3,4
16,1.1399998553097248,1,4,7
17,1.2949998630210757,1,4,4
18,-1.0600000144913793,0,2,4
19,-1.100000019185245,0,6,3
20,-1.4850000282749534,0,6,7
21,-0.935000017285347,0,1,4
22,1.2899998659268022,1,2,7
23,3.6449998999014497,2,1,9
24,1.390000025741756,1,3,3
25,-1.3600000217556953,0,4,6
26,1.3949999855831265,1,3,5
27,1.3500000182539225,1,2,7
28,1.4749999884516,1,4,3
29,-1.1500000189989805,0,5,3
30,-1.1550000244751573,0,5,4
31,3.794999740086496,2,3,6
32,4.129999921657145,2,1,4
33,0.8999998494982719,1,6,8
34,-1.0650000181049109,0,4,3
35,6.515000019222498,3,3,3
36,-1.4850000366568565,0,6,7
37,-1.3450000220909715,0,5,7
38,4.014999862760305,2,4,4
39,1.1600000336766243,1,4,5
40,3.899999867193401,2,3,4
41,3.3550000535324216,2,3,8
42,-1.285000016912818,0,6,3
43,-1.4050000319257379,0,5,7
44,3.889999863691628,2,3,3
45,-1.0550000164657831,0,4,4
46,-1.600000023841858,0,6,6
47,-1.0900000240653753,0,4,5
48,-1.210000017657876,0,4,4
49,3.5549998562783003,2,3,9
50,-1.0750000216066837,0,4,5
51,-1.7650000415742397,0,4,12
52,3.785000021569431,2,4,5
53,-1.4400000302121043,0,4,7
54,-1.2000000234693289,0,3,5
55,3.589999947696924,2,2,7
56,3.7249999092891812,2,6,4
57,-1.4000000292435288,0,4,8
58,-1.215000020340085,0,4,6
59,-1.090000020340085,0,3,5
60,-1.340000026859343,0,4,7
61,-1.3450000332668424,0,5,6
62,-1.8500000480562449,0,4,13
63,5.980000066570938,3,7,6
64,3.5499999010935426,2,4,6
65,-1.2700000265613198,0,5,6
66,-1.4400000358000398,0,5,8
67,-1.245000023394823,0,5,5
68,-1.1900000320747495,0,4,6
69,-1.4950000382959843,0,4,9
70,-1.4700000258162618,0,5,8
71,-0.8400000082328916,0,3,0
72,3.734999963082373,2,3,6
73,-1.255000022239983,0,8,3
74,3.609999978914857,2,7,3
75,1.3150000795722008,1,5,4
76,-1.050000011920929,0,3,2
77,1.1700000185519457,1,4,7
78,4.045000028796494,2,2,4
79,-1.8350000344216824,0,6,9
80,3.4949998473748565,2,3,9
81,0.9450000133365393,1,4,8
82,-1.3350000316277146,0,6,5
83,-1.2600000174716115,0,3,5
84,-1.7250000359490514,0,7,8
85,-0.9950000150129199,0,6,3
86,-1.1150000160560012,0,4,4
87,1.204999857582152,1,4,6
88,-1.3950000265613198,0,5,7
89,4.004999917000532,2,4,2
90,-1.3400000184774399,0,6,4
91,-1.5850000428035855,0,6,9
92,-1.3950000340119004,0,5,7
