Episode,Agent0_AvgReward,Agent1_AvgReward
1,0.32,0.36
2,0.24,0.22
3,0.3,0.18
4,0.24,0.24
5,0.24,0.2
6,0.26,0.18
7,0.24,0.24
8,0.3,0.24
9,0.3,0.32
10,0.26,0.24
11,0.24,0.26
12,0.24,0.2
13,0.2,0.16
14,0.24,0.24
15,0.24,0.36
16,0.24,0.3
17,0.22,0.32
18,0.2,0.2
19,0.28,0.22
20,0.22,0.32
21,0.3,0.34
22,0.22,0.26
23,0.26,0.32
24,0.3,0.22
25,0.26,0.26
26,0.24,0.32
27,0.22,0.32
28,0.26,0.3
29,0.28,0.22
30,0.36,0.3
31,0.2,0.28
32,0.4,0.34
33,0.28,0.18
34,0.26,0.38
35,0.22,0.3
36,0.22,0.32
37,0.34,0.22
38,0.3,0.38
39,0.16,0.32
40,0.3,0.34
41,0.18,0.28
42,0.32,0.22
43,0.34,0.28
44,0.34,0.22
45,0.28,0.22
46,0.3,0.22
47,0.3,0.26
48,0.26,0.24
49,0.26,0.34
50,0.16,0.24
51,0.32,0.22
52,0.28,0.28
53,0.24,0.24
54,0.2,0.34
55,0.22,0.2
56,0.16,0.34
57,0.26,0.32
58,0.28,0.26
59,0.24,0.26
60,0.32,0.24
61,0.26,0.26
62,0.18,0.26
63,0.28,0.2
64,0.24,0.16
65,0.22,0.24
66,0.28,0.28
67,0.26,0.28
68,0.22,0.34
69,0.24,0.18
70,0.3,0.28
71,0.18,0.2
72,0.3,0.22
73,0.1,0.18
74,0.2,0.14
75,0.24,0.22
76,0.16,0.16
77,0.28,0.2
78,0.18,0.3
79,0.32,0.14
80,0.28,0.22
81,0.24,0.26
82,0.32,0.22
83,0.2,0.38
84,0.28,0.16
85,0.26,0.26
86,0.28,0.26
87,0.24,0.24
88,0.32,0.24
89,0.24,0.22
90,0.28,0.24
91,0.36,0.18
92,0.34,0.26
93,0.28,0.2
94,0.3,0.24
95,0.28,0.3
96,0.24,0.2
97,0.24,0.3
98,0.26,0.3
99,0.22,0.14
100,0.24,0.22
101,0.2,0.2
102,0.24,0.18
103,0.26,0.2
104,0.22,0.2
105,0.26,0.22
106,0.28,0.26
107,0.26,0.24
108,0.2,0.3
109,0.22,0.34
110,0.22,0.24
111,0.28,0.2
112,0.16,0.3
113,0.34,0.32
114,0.32,0.26
115,0.32,0.32
116,0.24,0.2
117,0.28,0.28
118,0.22,0.24
119,0.34,0.22
120,0.28,0.28
121,0.28,0.24
122,0.2,0.22
123,0.24,0.18
124,0.28,0.22
125,0.16,0.28
126,0.28,0.28
127,0.32,0.24
128,0.3,0.16
129,0.32,0.24
130,0.22,0.18
131,0.26,0.24
132,0.22,0.24
133,0.2,0.22
134,0.22,0.36
135,0.26,0.3
136,0.22,0.34
137,0.32,0.26
138,0.26,0.24
139,0.26,0.22
140,0.26,0.28
141,0.32,0.22
142,0.2,0.26
143,0.22,0.34
144,0.26,0.26
145,0.38,0.3
146,0.18,0.32
147,0.16,0.24
148,0.16,0.26
149,0.24,0.14
150,0.24,0.22
151,0.34,0.36
152,0.14,0.28
153,0.24,0.18
154,0.24,0.3
155,0.16,0.28
156,0.1,0.18
157,0.26,0.18
158,0.28,0.22
159,0.3,0.22
160,0.26,0.16
161,0.34,0.26
162,0.2,0.28
163,0.3,0.28
164,0.28,0.28
165,0.24,0.3
166,0.28,0.26
167,0.3,0.2
168,0.2,0.26
169,0.18,0.22
170,0.18,0.26
171,0.22,0.26
172,0.28,0.26
173,0.2,0.28
174,0.24,0.28
175,0.2,0.28
176,0.24,0.26
177,0.2,0.28
178,0.24,0.24
179,0.24,0.26
180,0.28,0.24
181,0.22,0.22
182,0.26,0.26
183,0.3,0.26
184,0.26,0.26
185,0.28,0.26
186,0.24,0.26
187,0.28,0.28
188,0.28,0.26
189,0.26,0.22
190,0.24,0.26
191,0.26,0.26
192,0.18,0.24
193,0.2,0.28
194,0.26,0.26
195,0.32,0.26
196,0.24,0.24
197,0.16,0.24
198,0.22,0.26
199,0.22,0.26
200,0.18,0.26
