Episode,TotalReward
1,40.0
2,30.0
3,70.0
4,44.0
5,52.0
6,46.0
7,58.0
8,62.0
9,42.0
10,56.0
11,42.0
12,50.0
13,48.0
14,48.0
15,36.0
16,58.0
17,42.0
18,48.0
19,52.0
20,38.0
21,62.0
22,68.0
23,58.0
24,40.0
25,50.0
26,44.0
27,50.0
28,42.0
29,52.0
30,44.0
31,36.0
32,48.0
33,54.0
34,42.0
35,40.0
36,38.0
37,48.0
38,50.0
39,56.0
40,42.0
41,48.0
42,48.0
43,48.0
44,36.0
45,56.0
46,82.0
47,72.0
48,38.0
49,46.0
50,38.0
51,36.0
52,72.0
53,46.0
54,52.0
55,42.0
56,52.0
57,54.0
58,68.0
59,58.0
60,40.0
61,52.0
62,52.0
63,58.0
64,32.0
65,34.0
66,82.0
67,32.0
68,40.0
69,38.0
70,60.0
71,62.0
72,48.0
73,84.0
74,50.0
75,68.0
76,60.0
77,68.0
78,42.0
79,40.0
80,52.0
81,44.0
82,60.0
83,48.0
84,52.0
85,40.0
86,48.0
87,52.0
88,62.0
89,66.0
90,50.0
91,68.0
92,56.0
93,68.0
94,52.0
95,52.0
96,66.0
97,54.0
98,50.0
99,54.0
100,46.0
101,50.0
102,66.0
103,76.0
104,70.0
105,64.0
106,52.0
107,56.0
108,50.0
109,58.0
110,64.0
111,78.0
112,80.0
113,50.0
114,54.0
115,70.0
116,50.0
117,74.0
118,72.0
119,54.0
120,64.0
121,60.0
122,46.0
123,48.0
124,60.0
125,70.0
126,44.0
127,28.0
128,54.0
129,68.0
130,82.0
131,42.0
132,54.0
133,64.0
134,38.0
135,50.0
136,46.0
137,74.0
138,62.0
139,56.0
140,64.0
141,70.0
142,64.0
143,30.0
144,74.0
145,44.0
146,72.0
147,66.0
148,66.0
149,70.0
150,80.0
151,66.0
152,92.0
153,60.0
154,54.0
155,58.0
156,68.0
157,72.0
158,68.0
159,60.0
160,60.0
161,50.0
162,88.0
163,78.0
164,72.0
165,60.0
166,66.0
167,66.0
168,74.0
169,74.0
170,66.0
171,52.0
172,70.0
173,44.0
174,62.0
175,60.0
176,68.0
177,66.0
178,60.0
179,112.0
180,88.0
181,94.0
182,66.0
183,86.0
184,66.0
185,54.0
186,66.0
187,74.0
188,38.0
189,88.0
190,48.0
191,64.0
192,56.0
193,68.0
194,58.0
195,80.0
196,58.0
197,100.0
198,62.0
199,116.0
200,64.0
201,88.0
202,74.0
203,62.0
204,70.0
205,66.0
206,80.0
207,56.0
208,100.0
209,48.0
210,56.0
211,96.0
212,86.0
213,66.0
214,58.0
215,72.0
216,52.0
217,58.0
218,80.0
219,52.0
220,78.0
221,52.0
222,94.0
223,70.0
224,78.0
225,88.0
226,90.0
227,52.0
228,118.0
229,72.0
230,66.0
231,62.0
232,84.0
233,80.0
234,86.0
235,88.0
236,76.0
237,64.0
238,72.0
239,80.0
240,80.0
241,80.0
242,90.0
243,48.0
244,94.0
245,62.0
246,102.0
247,100.0
248,58.0
249,54.0
250,72.0
251,82.0
252,62.0
253,44.0
254,98.0
255,94.0
256,86.0
257,96.0
258,68.0
259,112.0
260,92.0
261,110.0
262,50.0
263,74.0
264,106.0
265,70.0
266,76.0
267,108.0
268,56.0
269,84.0
270,58.0
271,86.0
272,92.0
273,80.0
274,48.0
275,94.0
276,90.0
277,76.0
278,74.0
279,82.0
280,66.0
281,56.0
282,74.0
283,82.0
284,122.0
285,140.0
286,90.0
287,64.0
288,88.0
289,86.0
290,82.0
291,82.0
292,112.0
293,66.0
294,80.0
295,96.0
296,132.0
297,110.0
298,104.0
299,102.0
300,122.0
301,76.0
302,128.0
303,116.0
304,170.0
305,102.0
306,88.0
307,70.0
308,114.0
309,80.0
310,78.0
311,74.0
312,112.0
313,114.0
314,70.0
315,126.0
316,112.0
317,106.0
318,112.0
319,124.0
320,118.0
321,114.0
322,96.0
323,84.0
324,116.0
325,178.0
326,174.0
327,162.0
328,134.0
329,120.0
330,170.0
331,132.0
332,124.0
333,106.0
334,116.0
335,86.0
336,94.0
337,122.0
338,106.0
339,122.0
340,74.0
341,126.0
342,210.0
343,154.0
344,148.0
345,96.0
346,38.0
347,86.0
348,188.0
349,168.0
350,178.0
351,104.0
352,136.0
353,82.0
354,122.0
355,252.0
356,178.0
357,220.0
358,142.0
359,170.0
360,222.0
361,158.0
362,134.0
363,204.0
364,92.0
365,146.0
366,132.0
367,126.0
368,172.0
369,136.0
370,134.0
371,86.0
372,180.0
373,162.0
374,66.0
375,160.0
376,160.0
377,232.0
378,148.0
379,180.0
380,138.0
381,264.0
382,130.0
383,138.0
384,116.0
385,182.0
386,178.0
387,184.0
388,200.0
389,228.0
390,164.0
391,168.0
392,120.0
393,152.0
394,84.0
395,198.0
396,216.0
397,216.0
398,176.0
399,232.0
400,140.0
401,252.0
402,210.0
403,212.0
404,292.0
405,174.0
406,154.0
407,106.0
408,252.0
409,210.0
410,286.0
411,294.0
412,232.0
413,302.0
414,210.0
415,236.0
416,276.0
